pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
138.8714,298011,0.893,1.034,0.67,-271,-0.434,68,0,0,0,1.78,-174,-174,-136,0,0.314,3.86,0.1361,0,0,-0.167,1,0.042,8,22
138.8845,298031,0.885,1.069,-0.45,-293,-0.469,132,0,0,0,0.73,-120,-120,-147,0,0.25,-16.11,-0.7065,0,0,-0.021,1,0.112,8,22
138.9069,298051,0.89,1.01,-0.45,-256,-0.41,86,0,0,0,1.01,-131,-131,-128,0,0.262,-18.63,-0.9699,0,0,-0.068,1,0.142,6,22
138.9658,298091,0.941,1.275,1.86,-422,-0.675,182,0,0,0,0.8,-113,-113,-148,0,0.305,-10.45,-1,0,0,-0.013,1,0.053,7,22
138.967,298111,0.951,1.211,2.7,-382,-0.611,118,0,0,0,0.87,-115,-115,-169,0,0.281,-4.95,0.0282,0,0,0.009,1,0.125,7,22
138.9941,298131,1.002,1.198,1.93,-374,-0.598,96,0,0,0,1.22,-131,-131,-180,0,0.642,33.46,0.2332,0,0,0.004,1,0.536,5,22
139.0044,298151,1.035,1.16,2.56,-350,-0.56,30,0,0,0,1.5,-146,-146,-173,0,0.302,-8.4,-0.8374,0,0,-0.013,1,0.079,6,22
139.0503,298191,1.128,1.365,2.7,-478,-0.765,101,0,0,0,0.59,-105,-105,-239,0,0.532,15.61,-0.2389,0,0,0,1,0.715,5,22
139.0663,298211,1.185,1.322,2.91,-451,-0.722,38,0,0,0,1.01,-126,-126,-226,0,0.305,-9.21,-1,0,0,0.004,1,0.073,14,22
139.0854,298231,1.238,1.336,3.4,-460,-0.736,0,0,0,0,0.66,-107,-107,-230,0,0.296,-15.65,-1,0,0,0.004,1,0.073,17,22
139.1047,298251,1.309,1.334,4.24,-459,-0.734,-60,0,0,0,0.8,-112,-112,-230,0,0.311,8.08,1,0,0,0.017,1,0.079,16,22
139.163,298291,1.429,0.955,1.79,-222,-0.355,-338,0,0,0,-0.31,-68,-68,-111,0,0.304,-5.22,-0.2904,0,0,0.086,1,0.06,15,22
139.1655,298311,1.494,0.954,0.95,-221,-0.354,-368,0,0,0,-0.1,-87,-87,-111,0,0.454,17.77,0.2719,0,0,0.051,1,0.592,15,22
139.1887,298331,1.513,0.645,-0.31,-28,-0.045,-553,0,0,0,-1.01,-43,-43,-75,0,0.31,-10.29,-1,0,0,0.021,1,0.054,17,22
139.2119,298351,1.492,0.656,-1.08,-35,-0.056,-523,0,0,0,-1.99,20,20,-113,0,0.252,-17.73,-0.7088,0,0,-0.004,1,0.155,15,22
139.251,298391,1.318,0.48,-5.2,75,0.12,-451,0,0,0,-0.87,-23,-23,-125,0,0.307,-13.95,-1,0,0,0.038,1,0.042,18,22
139.2694,298411,1.139,0.152,-5.76,280,0.448,-549,0,0,0,1.78,-150,-150,-65,0,0.267,-11.55,-0.433,0,0,0.18,1,0.147,16,22
139.2902,298431,0.983,0.074,-11.85,329,0.526,-369,0,0,0,-0.17,-45,-45,-20,0,0.269,-12.66,-0.6445,0,0,0.034,1,0.14,16,22
139.3022,298451,0.805,-0.102,-10.87,439,0.702,-391,0,0,0,-0.31,-40,-40,38,0,0.258,-17.55,-0.8653,0,0,0.098,1,0.125,16,22
139.3655,298491,0.43,-0.083,-7.37,427,0.683,-201,0,0,0,0.52,-88,-88,1,0,0.255,-15.85,-0.7627,0,0,0.009,1,0.138,16,22
