pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
670.0503,686941,2.483,4.005,-1.5,-2128,-3.405,1009,0,0,0,-2.59,1918,1918,1014,0,0.516,9.3,0.3011,0,0,-0.013,1,0.76,23,20502
670.0657,686961,2.398,3.659,-3.81,-1912,-3.059,880,0,0,0,0.56,1751,1751,1076,0,0.57,29.58,0.9297,0,0,-0.03,1,0.342,11,20502
670.1237,687001,2.09,3.453,-8.91,-1783,-2.853,1037,0,0,0,0.14,1786,1786,1075,0,0.557,26.81,0.8986,0,0,-0.111,1,0.331,19,20502
670.1307,687021,1.864,3.35,-15.91,-1719,-2.75,1251,0,0,0,2.73,1635,1635,1076,0,0.529,9.84,0.1986,0,0,-0.004,1,0.732,13,20502
670.1455,687041,1.637,3.261,-14.86,-1663,-2.661,1319,0,0,0,2.66,1640,1640,1079,0,0.558,13.14,0.2118,0,0,-0.004,1,0.687,1,20502
670.1634,687061,1.357,3.221,-9.96,-1638,-2.621,1388,0,0,0,-1.26,1826,1826,1080,0,0.578,26.07,0.4389,0,0,0.009,1,0.45,2,20502
670.2091,687101,0.844,3.227,-12.06,-1642,-2.627,1776,0,0,0,-0.77,1807,1807,1083,0,0.521,11.45,0.3281,0,0,0,1,0.713,16,20502
670.2267,687121,0.585,3.246,-8.21,-1654,-2.646,1870,0,0,0,-1.61,1835,1835,1084,0,0.549,26.79,0.8545,0,0,0,1,0.369,7,20502
670.2475,687141,0.413,3.312,-8.14,-1695,-2.712,2018,0,0,0,2.24,1647,1647,1088,0,0.549,26.79,0.8545,0,0,0,1,0.369,27,20502
670.2657,687161,0.259,3.398,-0.87,-1749,-2.798,2041,0,0,0,-2.17,1869,1869,1084,0,0.583,19.74,0.0937,0,0,0,1,0.599,2,20502
670.3225,687201,0.075,3.595,-4.58,-1872,-2.995,2369,0,0,0,3.77,1566,1566,1084,0,0.599,28.21,0.2505,0,0,0.013,1,0.361,1,20502
