pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
23.00274,182131,0.262,0.496,3.96,65,0.104,80,0,0,0,0.52,207,207,236,0,0.277,-15.36,-0.9165,0,0,0.227,1,0.099,12,22
23.0067,182151,0.379,0.619,4.24,-12,-0.019,81,0,0,0,-0.87,274,274,210,0,0.272,-13.1,-0.5163,0,0,0.081,1,0.125,11,22
23.02478,182171,0.492,0.6,4.17,0,0,-3,0,0,0,-0.45,251,251,237,0,0.274,-11.58,-0.3912,0,0,0.051,1,0.116,12,22
23.04275,182191,0.593,0.68,4.17,-50,-0.08,-16,0,0,0,-0.87,272,272,222,0,0.272,-15.05,-0.7503,0,0,-0.013,1,0.106,13,22
23.08861,182231,0.734,0.635,2.28,-22,-0.035,-103,0,0,0,-0.59,264,264,194,0,0.286,-16.32,-1,0,0,-0.004,1,0.089,14,22
23.1077,182251,0.793,0.675,1.58,-47,-0.075,-104,0,0,0,-0.24,250,250,207,0,0.279,-9.72,0.2218,0,0,0.013,1,0.082,14,22
23.12492,182271,0.823,0.61,-0.03,-6,-0.01,-135,0,0,0,-0.31,257,257,222,0,0.288,-7.16,-0.1684,0,0,0.017,1,0.097,13,22
23.14306,182291,0.823,0.406,-1.5,121,0.194,-243,0,0,0,0.59,212,212,273,0,0.299,-1.89,0.4706,0,0,0.077,1,0.091,13,22
23.21216,182331,0.823,0.283,-4.99,198,0.317,-258,0,0,0,-0.52,253,253,338,0,0.277,-21.43,-1,0,0,0.034,1,0.09,13,22
23.2125,182351,0.763,0.384,-5.13,135,0.216,-149,0,0,0,-0.94,272,272,241,0,0.298,-1.05,0.2931,0,0,0.013,1,0.117,14,22
23.22725,182371,0.662,0.422,-4.08,111,0.178,-81,0,0,0,-0.38,244,244,178,0,0.288,-8.05,0.0102,0,0,-0.009,1,0.073,15,22
23.245,182391,0.542,0.504,-3.8,60,0.096,41,0,0,0,-0.31,242,242,178,0,0.286,-3.16,0.6223,0,0,-0.013,1,0.072,15,22
