pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
36.75115,53641,0.335,0.678,-3.11,-49,-0.078,284,0,0,0,-1.4,515,515,288,0,0.276,-5.42,0.6216,0,0,0.086,1,0.108,2,22
36.79498,53681,0.31,0.758,0.53,-99,-0.158,284,0,0,0,-0.28,458,458,285,0,0.271,-9.27,-0.1398,0,0,0,1,0.105,3,22
36.81415,53701,0.333,0.795,2.69,-122,-0.195,248,0,0,0,0.07,441,441,284,0,0.27,0.4,1,0,0,-0.004,1,0.098,4,22
36.829,53721,0.37,0.829,2.97,-143,-0.229,248,0,0,0,-0.28,459,459,283,0,0.269,-4.74,0.6149,0,0,-0.004,1,0.099,5,22
36.84666,53741,0.414,0.858,3.81,-161,-0.258,215,0,0,0,-0.14,452,452,286,0,0.267,-6.15,0.9132,0,0,0,1,0.08,6,22
36.9076,53781,0.566,0.901,4.37,-188,-0.301,134,0,0,0,-0.77,483,483,284,0,0.294,4.9,1,0,0,0,1,0.08,5,22
36.91053,53801,0.643,0.91,4.37,-194,-0.31,95,0,0,0,-0.7,478,478,283,0,0.281,-3.68,0.7915,0,0,0,1,0.095,4,22
36.92883,53821,0.712,0.918,3.74,-199,-0.318,63,0,0,0,-0.7,476,476,282,0,0.266,-16.9,-0.7623,0,0,-0.009,1,0.099,3,22
36.94599,53841,0.791,0.917,3.04,-198,-0.317,27,0,0,0,-0.91,485,485,281,0,0.294,6.09,1,0,0,-0.004,1,0.074,5,22
36.99123,53881,0.905,0.886,2.34,-179,-0.286,-49,0,0,0,-2.38,556,556,279,0,0.259,-36.97,-1,0,0,-0.137,1,0.073,5,22
37.0108,53901,0.977,0.861,1.72,-163,-0.261,-114,0,0,0,0.14,436,436,280,0,0.285,-5.38,0.3235,0,0,-0.103,1,0.087,5,22
37.03006,53921,1.024,0.83,0.95,-144,-0.23,-137,0,0,0,0.21,433,433,281,0,0.299,0.6,1,0,0,-0.021,1,0.072,6,22
37.047,53941,1.046,0.805,2.06,-128,-0.205,-197,0,0,0,-0.7,484,484,282,0,0.292,-8.54,-0.4343,0,0,-0.107,1,0.095,4,22
37.10859,53981,1.016,0.714,-0.38,-71,-0.114,-191,0,0,0,0.14,444,444,285,0,0.286,-7.01,0.1228,0,0,-0.043,1,0.115,2,22
37.11242,54001,0.983,0.672,-1.43,-45,-0.072,-173,0,0,0,0.21,438,438,286,0,0.265,-25.74,-1,0,0,-0.03,1,0.107,3,22
37.13753,54021,0.945,0.629,-3.04,-18,-0.029,-150,0,0,0,0.49,427,427,287,0,0.301,1.52,0.815,0,0,-0.133,1,0.106,3,22
37.14938,54041,0.877,0.594,-0.66,4,0.006,-173,0,0,0,0.07,450,450,286,0,0.284,-6.43,0.2523,0,0,-0.043,1,0.134,2,22
37.19793,54081,0.798,0.542,-1.22,36,0.058,-148,0,0,0,0.14,450,450,286,0,0.262,-19.51,-0.7024,0,0,-0.086,1,0.142,2,22
37.2118,54101,0.746,0.525,-4.09,47,0.075,-65,0,0,0,-0.56,487,487,287,0,0.255,-22.04,-0.83,0,0,-0.043,1,0.131,3,22
37.23064,54121,0.684,0.509,-2.62,57,0.091,-66,0,0,0,-0.28,474,474,285,0,0.266,-17.9,-0.6288,0,0,-0.021,1,0.144,1,22
37.24907,54141,0.653,0.501,-2.76,62,0.099,-43,0,0,0,-1.33,526,526,286,0,0.266,-9.05,0.2946,0,0,-0.026,1,0.155,0,22
37.30068,54181,0.572,0.491,-2.13,68,0.109,-11,0,0,0,-0.35,475,475,287,0,0.274,-14.12,-0.5295,0,0,0,1,0.156,20,22
37.31445,54201,0.522,0.488,-1.57,70,0.112,6,0,0,0,0.21,445,445,286,0,0.265,-15.65,-0.5187,0,0,0,1,0.168,0,22
37.33099,54221,0.492,0.491,-1.5,68,0.109,29,0,0,0,0.35,436,436,288,0,0.265,-15.65,-0.5187,0,0,-0.013,1,0.168,20,22
37.3576,54241,0.453,0.499,-1.99,63,0.101,75,0,0,0,0.28,440,440,286,0,0.267,-13.08,-0.1518,0,0,-0.115,1,0.152,1,22
