pc_elapsed_s,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
67.11394,226261,0.956,0.573,0.95,17,0.027,-295,0,0,0,-0.94,289,289,263,0,0.276,-21.23,-1,0,0,0,1,0.087,5,22
67.15857,226301,0.955,0.59,-1.92,6,0.01,-225,0,0,0,-0.59,277,277,282,0,0.277,-18.77,-1,0,0,-0.004,1,0.108,2,22
67.17615,226321,0.922,0.526,-2.76,46,0.074,-233,0,0,0,-0.59,274,274,225,0,0.294,-14.34,-1,0,0,0,1,0.082,4,22
67.19529,226341,0.883,0.482,-2.55,74,0.118,-237,0,0,0,-0.24,254,254,185,0,0.297,-9.38,-0.5361,0,0,-0.013,1,0.087,5,22
67.21855,226361,0.823,0.48,-2.48,75,0.12,-198,0,0,0,-0.1,245,245,183,0,0.285,-18.53,-1,0,0,-0.013,1,0.087,5,22
67.27413,226401,0.726,0.48,-2.62,75,0.12,-124,0,0,0,-0.31,258,258,188,0,0.292,-1.85,0.6299,0,0,-0.209,1,0.092,5,22
67.28078,226421,0.672,0.448,-3.03,95,0.152,-102,0,0,0,0.32,231,231,183,0,0.279,-12.29,-0.3858,0,0,-0.107,1,0.085,5,22
67.29537,226441,0.617,0.421,-3.03,112,0.179,-85,0,0,0,-0.38,268,268,175,0,0.283,-18.36,-1,0,0,-0.06,1,0.096,4,22
67.31344,226461,0.59,0.382,-2.27,136,0.218,-106,0,0,0,-1.15,306,306,161,0,0.273,-27.25,-1,0,0,-0.043,1,0.089,4,22
67.36157,226501,0.545,0.474,1.37,79,0.126,-80,0,0,0,-0.87,292,292,187,0,0.288,-12.83,-0.9612,0,0,-0.137,1,0.105,4,22
67.37898,226521,0.501,0.477,-0.45,77,0.123,-7,0,0,0,-0.17,257,257,188,0,0.288,-17.17,-1,0,0,-0.056,1,0.099,3,22
67.39634,226541,0.491,0.472,1.16,80,0.128,-45,0,0,0,0.39,231,231,185,0,0.277,-24.28,-1,0,0,-0.077,1,0.104,4,22
67.4154,226561,0.475,0.512,-0.52,55,0.088,41,0,0,0,0.39,232,232,194,0,0.287,-15.02,-1,0,0,-0.081,1,0.115,3,22
67.47707,226601,0.489,0.494,0.74,66,0.106,-8,0,0,0,-0.24,265,265,175,0,0.273,-19.27,-1,0,0,-0.06,1,0.133,2,22
67.47745,226621,0.511,0.494,1.16,66,0.106,-36,0,0,0,0.39,235,235,167,0,0.272,-29.11,-1,0,0,-0.094,1,0.113,3,22
67.49462,226641,0.531,0.474,1.37,79,0.126,-67,0,0,0,-0.17,263,263,153,0,0.282,-20.7,-1,0,0,-0.043,1,0.147,1,22
67.51369,226661,0.541,0.55,1.93,31,0.05,-35,0,0,0,-0.45,276,276,171,0,0.286,-24.2,-1,0,0,-0.026,1,0.118,2,22
67.55961,226701,0.599,0.576,1.44,15,0.024,-44,0,0,0,-0.45,273,273,172,0,0.285,-14.25,-1,0,0,0.004,1,0.138,21,22
67.57616,226721,0.633,0.558,2.42,26,0.042,-100,0,0,0,-0.03,251,251,166,0,0.29,-15.51,-1,0,0,-0.03,1,0.153,1,22
